x,w,wexp(x^2),Hn(x+eps),Hn(x-eps)
H4
0.52464762327529031788406025383474134141357856516946337190186017544378521263,0.80491409000551283650604918448068417963544181142286974554155811134841192379,1.0599644828949691946770008263290287807981242499057041848819773079579715101,4.8439e-76,-2.2591e-76
1.6506801238857845558833411111207455437894347069037757070303733233420577988,0.081312835447245177143034557189888411763332916638323818565345783578043718505,1.2402258176958158231360213363051483382957111578423986741904778869978118103,-2.7106e-75,1.7590e-75
H5
0,0.94530872048294188122568932444861076415869304326527313504736415458821935178,0.94530872048294188122568932444861076415869304326527313504736415458821935178,-1.3624e-646456991,1.3624e-646456991
0.95857246461381850711277059389298831818608885525818853158614350730249603343,0.39361932315224115982849562085209363445485822905463794045688935527124909579,0.98658099675142817049379100089317257714002098148042760177802842304559555486,1.1716e-75,-2.0404e-75
2.0201828704560856329287240881446451470522321474650473926832631624059913802,0.019953242059045913207743458594173574864569977373919056126332462361096870614,1.1814886255359876045006425710344389869244500872136696959445783193238946634,-2.8065e-74,2.9001e-74
H6
0.43607741192761650867921594825062491076625666893182680585154916114480321717,0.72462959522439252409191470559756717155395000608504612070434352401865175453,0.87640133443623056039828858487330782721814361572723265653704099245126879902,-1.7008e-75,2.3995e-75
1.3358490740136969497148952829703706739725895261250108139948144291988243795,0.15706732032285664391631156350837826891231465003570773330488589821280691867,0.93558055763118051603073959777181960943469315244856684281605708784774270992,1.1058e-74,-2.4171e-74
2.3506049736744922228339219870609208465378638272940990922973865271435226637,0.0045300099055088456408574725646271509325100719404397100976744726949969690982,1.1369083326745245502323679071317713234353885832785652593354635887695137524,-2.1353e-73,2.0135e-73
H7
0,0.81026461755680732676487656381309494070745117994166268718345498964704515867,0.81026461755680732676487656381309494070745117994166268718345498964704515867,1.9073e-646456990,-1.9073e-646456990
0.81628788285896466303871095902714581674288940037863615684472203343594907049,0.42560725261012780052031746666639103543970682101400152587878953913358027297,0.82868730328363926233972370944775256360507279056168873831949859785722277586,-1.7555e-74,2.2482e-74
